close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
1086.1,2024-03-01 09:15:00,NFO,28-MAR-2024,1086.1,1082.0,1082.05,50979375,Futures,AXIBAN,153125
1087.25,2024-03-01 09:16:00,NFO,28-MAR-2024,1088.15,1085.25,1085.55,50979375,Futures,AXIBAN,210625
1086.2,2024-03-01 09:17:00,NFO,28-MAR-2024,1087.55,1086.15,1087.55,50979375,Futures,AXIBAN,61875
1087.25,2024-03-01 09:18:00,NFO,28-MAR-2024,1088.25,1086.95,1087.1,50995625,Futures,AXIBAN,60625
1086.5,2024-03-01 09:19:00,NFO,28-MAR-2024,1087.55,1086.5,1087.25,50995625,Futures,AXIBAN,48125
1089.9,2024-03-01 09:20:00,NFO,28-MAR-2024,1090.45,1086.4,1086.4,50995625,Futures,AXIBAN,78125
1087.65,2024-03-01 09:21:00,NFO,28-MAR-2024,1089.75,1087.55,1089.6,51009375,Futures,AXIBAN,52500
1089.1,2024-03-01 09:22:00,NFO,28-MAR-2024,1089.95,1087.3,1087.65,51009375,Futures,AXIBAN,61875
1089.5,2024-03-01 09:23:00,NFO,28-MAR-2024,1090.0,1088.45,1089.1,51009375,Futures,AXIBAN,46875
1089.05,2024-03-01 09:24:00,NFO,28-MAR-2024,1089.8,1089.0,1089.35,50998750,Futures,AXIBAN,31875
1089.4,2024-03-01 09:25:00,NFO,28-MAR-2024,1089.4,1088.1,1089.05,50998750,Futures,AXIBAN,38125
1088.65,2024-03-01 09:26:00,NFO,28-MAR-2024,1089.45,1088.65,1089.4,50998750,Futures,AXIBAN,36250
1088.2,2024-03-01 09:27:00,NFO,28-MAR-2024,1089.2,1088.05,1088.4,50973750,Futures,AXIBAN,51250
1088.5,2024-03-01 09:28:00,NFO,28-MAR-2024,1089.4,1088.0,1088.3,50973750,Futures,AXIBAN,39375
1088.4,2024-03-01 09:29:00,NFO,28-MAR-2024,1088.9,1087.9,1088.5,50973750,Futures,AXIBAN,39375
1090.25,2024-03-01 09:30:00,NFO,28-MAR-2024,1090.5,1088.15,1088.15,50961875,Futures,AXIBAN,60625
1089.25,2024-03-01 09:31:00,NFO,28-MAR-2024,1090.25,1088.8,1090.25,50961875,Futures,AXIBAN,41875
1088.8,2024-03-01 09:32:00,NFO,28-MAR-2024,1089.3,1088.45,1089.0,50961875,Futures,AXIBAN,36250
1090.25,2024-03-01 09:33:00,NFO,28-MAR-2024,1090.25,1088.6,1088.8,50975000,Futures,AXIBAN,29375
1089.75,2024-03-01 09:34:00,NFO,28-MAR-2024,1091.55,1089.7,1090.1,50975000,Futures,AXIBAN,120625
1090.6,2024-03-01 09:35:00,NFO,28-MAR-2024,1090.8,1089.75,1089.75,50975000,Futures,AXIBAN,26875
1091.1,2024-03-01 09:36:00,NFO,28-MAR-2024,1091.1,1090.15,1090.25,50988750,Futures,AXIBAN,36875
1091.0,2024-03-01 09:37:00,NFO,28-MAR-2024,1091.25,1090.05,1091.1,50988750,Futures,AXIBAN,46250
1090.05,2024-03-01 09:38:00,NFO,28-MAR-2024,1091.0,1089.5,1091.0,50988750,Futures,AXIBAN,32500
1090.95,2024-03-01 09:39:00,NFO,28-MAR-2024,1090.95,1089.45,1090.05,51001875,Futures,AXIBAN,58750
1090.35,2024-03-01 09:40:00,NFO,28-MAR-2024,1091.05,1089.95,1090.95,51001875,Futures,AXIBAN,56875
1089.5,2024-03-01 09:41:00,NFO,28-MAR-2024,1090.4,1089.5,1090.35,51001875,Futures,AXIBAN,28750
1089.5,2024-03-01 09:42:00,NFO,28-MAR-2024,1090.3,1089.35,1089.55,51035625,Futures,AXIBAN,48750
1091.6,2024-03-01 09:43:00,NFO,28-MAR-2024,1092.55,1089.45,1089.65,51035625,Futures,AXIBAN,91250
1091.5,2024-03-01 09:44:00,NFO,28-MAR-2024,1092.3,1091.3,1091.6,51035625,Futures,AXIBAN,60000
1092.35,2024-03-01 09:45:00,NFO,28-MAR-2024,1092.75,1091.4,1091.5,51026875,Futures,AXIBAN,93125
1091.55,2024-03-01 09:46:00,NFO,28-MAR-2024,1092.75,1091.2,1092.0,51026875,Futures,AXIBAN,82500
1091.85,2024-03-01 09:47:00,NFO,28-MAR-2024,1092.25,1091.25,1091.65,51026875,Futures,AXIBAN,51875
1091.6,2024-03-01 09:48:00,NFO,28-MAR-2024,1091.9,1091.2,1091.7,51062500,Futures,AXIBAN,50000
1093.3,2024-03-01 09:49:00,NFO,28-MAR-2024,1093.3,1090.7,1091.0,51062500,Futures,AXIBAN,91250
1091.85,2024-03-01 09:50:00,NFO,28-MAR-2024,1093.4,1091.65,1093.3,51062500,Futures,AXIBAN,49375
1092.0,2024-03-01 09:51:00,NFO,28-MAR-2024,1092.65,1091.55,1091.85,51062500,Futures,AXIBAN,70625
1092.25,2024-03-01 09:52:00,NFO,28-MAR-2024,1092.65,1091.8,1091.9,51062500,Futures,AXIBAN,25000
1091.05,2024-03-01 09:53:00,NFO,28-MAR-2024,1092.6,1091.05,1092.1,51062500,Futures,AXIBAN,18750
1091.55,2024-03-01 09:54:00,NFO,28-MAR-2024,1092.0,1091.05,1091.05,51070000,Futures,AXIBAN,31875
1090.15,2024-03-01 09:55:00,NFO,28-MAR-2024,1091.7,1090.1,1091.35,51070000,Futures,AXIBAN,25625
1089.8,2024-03-01 09:56:00,NFO,28-MAR-2024,1090.3,1089.5,1090.15,51070000,Futures,AXIBAN,25000
1089.6,2024-03-01 09:57:00,NFO,28-MAR-2024,1090.2,1089.35,1089.8,51048750,Futures,AXIBAN,16250
1088.55,2024-03-01 09:58:00,NFO,28-MAR-2024,1089.7,1088.55,1089.6,51048750,Futures,AXIBAN,12500
1088.7,2024-03-01 09:59:00,NFO,28-MAR-2024,1089.45,1088.65,1088.65,51048750,Futures,AXIBAN,18125
1088.8,2024-03-01 10:00:00,NFO,28-MAR-2024,1089.05,1088.5,1088.7,51031875,Futures,AXIBAN,22500
1089.25,2024-03-01 10:01:00,NFO,28-MAR-2024,1089.65,1088.65,1088.8,51031875,Futures,AXIBAN,9375
1089.25,2024-03-01 10:02:00,NFO,28-MAR-2024,1089.6,1089.2,1089.25,51031875,Futures,AXIBAN,16250
1089.2,2024-03-01 10:03:00,NFO,28-MAR-2024,1089.7,1089.2,1089.25,51040000,Futures,AXIBAN,8750
1089.2,2024-03-01 10:04:00,NFO,28-MAR-2024,1089.35,1088.6,1089.2,51040000,Futures,AXIBAN,20625
1089.0,2024-03-01 10:05:00,NFO,28-MAR-2024,1089.4,1088.95,1089.2,51040000,Futures,AXIBAN,15000
1088.6,2024-03-01 10:06:00,NFO,28-MAR-2024,1089.2,1088.25,1088.8,51051250,Futures,AXIBAN,21875
1088.4,2024-03-01 10:07:00,NFO,28-MAR-2024,1088.6,1088.1,1088.6,51051250,Futures,AXIBAN,15000
1088.1,2024-03-01 10:08:00,NFO,28-MAR-2024,1088.4,1087.85,1088.4,51051250,Futures,AXIBAN,17500
1090.0,2024-03-01 10:09:00,NFO,28-MAR-2024,1090.45,1087.55,1087.85,51075625,Futures,AXIBAN,58750
1088.25,2024-03-01 10:10:00,NFO,28-MAR-2024,1090.3,1088.05,1090.1,51075625,Futures,AXIBAN,39375
1089.35,2024-03-01 10:11:00,NFO,28-MAR-2024,1089.6,1088.25,1088.25,51075625,Futures,AXIBAN,20000
1090.75,2024-03-01 10:12:00,NFO,28-MAR-2024,1090.9,1089.2,1089.35,51096875,Futures,AXIBAN,33750
1091.75,2024-03-01 10:13:00,NFO,28-MAR-2024,1091.95,1090.6,1090.65,51096875,Futures,AXIBAN,61250
1092.1,2024-03-01 10:14:00,NFO,28-MAR-2024,1092.6,1091.4,1091.95,51096875,Futures,AXIBAN,75625
1090.65,2024-03-01 10:15:00,NFO,28-MAR-2024,1092.35,1090.6,1092.0,51138750,Futures,AXIBAN,26250
1089.95,2024-03-01 10:16:00,NFO,28-MAR-2024,1090.8,1089.8,1090.65,51138750,Futures,AXIBAN,43750
1090.9,2024-03-01 10:17:00,NFO,28-MAR-2024,1091.5,1089.8,1089.95,51138750,Futures,AXIBAN,35000
1089.85,2024-03-01 10:18:00,NFO,28-MAR-2024,1090.9,1089.85,1090.9,51169375,Futures,AXIBAN,15625
1089.55,2024-03-01 10:19:00,NFO,28-MAR-2024,1090.5,1089.5,1089.85,51169375,Futures,AXIBAN,26250
1090.2,2024-03-01 10:20:00,NFO,28-MAR-2024,1090.3,1089.5,1089.55,51169375,Futures,AXIBAN,35000
1090.1,2024-03-01 10:21:00,NFO,28-MAR-2024,1090.85,1090.1,1090.2,51185000,Futures,AXIBAN,19375
1090.55,2024-03-01 10:22:00,NFO,28-MAR-2024,1091.45,1090.1,1090.1,51185000,Futures,AXIBAN,26875
1090.35,2024-03-01 10:23:00,NFO,28-MAR-2024,1090.55,1089.55,1090.55,51185000,Futures,AXIBAN,41875
1089.8,2024-03-01 10:24:00,NFO,28-MAR-2024,1091.1,1089.8,1090.35,51191875,Futures,AXIBAN,27500
1090.4,2024-03-01 10:25:00,NFO,28-MAR-2024,1090.95,1089.8,1089.8,51191875,Futures,AXIBAN,17500
1090.55,2024-03-01 10:26:00,NFO,28-MAR-2024,1090.9,1090.25,1090.4,51191875,Futures,AXIBAN,11250
1091.45,2024-03-01 10:27:00,NFO,28-MAR-2024,1091.45,1090.2,1090.55,51225000,Futures,AXIBAN,52500
1090.75,2024-03-01 10:28:00,NFO,28-MAR-2024,1091.45,1090.7,1091.45,51225000,Futures,AXIBAN,9375
1090.8,2024-03-01 10:29:00,NFO,28-MAR-2024,1090.8,1090.4,1090.75,51225000,Futures,AXIBAN,10625
1090.2,2024-03-01 10:30:00,NFO,28-MAR-2024,1090.65,1090.2,1090.55,51225000,Futures,AXIBAN,8125
1090.9,2024-03-01 10:31:00,NFO,28-MAR-2024,1091.1,1090.1,1090.2,51223750,Futures,AXIBAN,55625
