close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
4131.35,2024-03-01 09:15:00,NFO,28-MAR-2024,4149.9,4127.25,4132.5,12903975,Futures,TCS,28350
4132.6,2024-03-01 09:16:00,NFO,28-MAR-2024,4137.5,4128.7,4130.15,12903975,Futures,TCS,17500
4126.9,2024-03-01 09:17:00,NFO,28-MAR-2024,4132.1,4125.0,4130.4,12903975,Futures,TCS,17850
4137.95,2024-03-01 09:18:00,NFO,28-MAR-2024,4137.95,4124.05,4126.9,12910625,Futures,TCS,19775
4135.0,2024-03-01 09:19:00,NFO,28-MAR-2024,4141.05,4134.4,4139.0,12910625,Futures,TCS,14000
4134.75,2024-03-01 09:20:00,NFO,28-MAR-2024,4138.0,4130.0,4135.0,12910625,Futures,TCS,9625
4140.0,2024-03-01 09:21:00,NFO,28-MAR-2024,4142.25,4134.75,4134.75,12917975,Futures,TCS,7000
4142.15,2024-03-01 09:22:00,NFO,28-MAR-2024,4146.05,4140.0,4140.0,12917975,Futures,TCS,9100
4149.1,2024-03-01 09:23:00,NFO,28-MAR-2024,4149.1,4142.15,4142.15,12917975,Futures,TCS,13650
4148.85,2024-03-01 09:24:00,NFO,28-MAR-2024,4151.25,4146.65,4149.1,12919025,Futures,TCS,14700
4151.75,2024-03-01 09:25:00,NFO,28-MAR-2024,4154.85,4148.05,4149.0,12919025,Futures,TCS,17325
4140.0,2024-03-01 09:26:00,NFO,28-MAR-2024,4151.75,4140.0,4151.75,12919025,Futures,TCS,7350
4136.95,2024-03-01 09:27:00,NFO,28-MAR-2024,4140.0,4133.45,4140.0,12917275,Futures,TCS,9975
4136.55,2024-03-01 09:28:00,NFO,28-MAR-2024,4137.55,4133.2,4135.4,12917275,Futures,TCS,7525
4136.05,2024-03-01 09:29:00,NFO,28-MAR-2024,4136.7,4132.85,4136.55,12917275,Futures,TCS,11725
4132.3,2024-03-01 09:30:00,NFO,28-MAR-2024,4136.75,4132.0,4136.05,12922350,Futures,TCS,8750
4127.95,2024-03-01 09:31:00,NFO,28-MAR-2024,4132.4,4127.1,4132.3,12922350,Futures,TCS,12600
4126.5,2024-03-01 09:32:00,NFO,28-MAR-2024,4129.65,4122.65,4127.95,12922350,Futures,TCS,14700
4122.0,2024-03-01 09:33:00,NFO,28-MAR-2024,4127.9,4122.0,4126.5,12935475,Futures,TCS,5950
4126.95,2024-03-01 09:34:00,NFO,28-MAR-2024,4128.65,4122.0,4122.0,12935475,Futures,TCS,19775
4122.6,2024-03-01 09:35:00,NFO,28-MAR-2024,4126.95,4122.6,4126.95,12935475,Futures,TCS,5600
4126.05,2024-03-01 09:36:00,NFO,28-MAR-2024,4126.75,4122.6,4122.6,12944750,Futures,TCS,8050
4129.4,2024-03-01 09:37:00,NFO,28-MAR-2024,4129.4,4126.1,4127.1,12944750,Futures,TCS,7525
4124.3,2024-03-01 09:38:00,NFO,28-MAR-2024,4129.4,4124.2,4129.4,12944750,Futures,TCS,10675
4124.75,2024-03-01 09:39:00,NFO,28-MAR-2024,4125.65,4122.15,4124.6,12949300,Futures,TCS,14000
4125.6,2024-03-01 09:40:00,NFO,28-MAR-2024,4126.35,4123.4,4124.75,12949300,Futures,TCS,14700
4128.95,2024-03-01 09:41:00,NFO,28-MAR-2024,4129.4,4125.6,4125.6,12949300,Futures,TCS,10325
4130.9,2024-03-01 09:42:00,NFO,28-MAR-2024,4133.25,4128.35,4128.95,12958575,Futures,TCS,7350
4129.2,2024-03-01 09:43:00,NFO,28-MAR-2024,4131.8,4127.6,4130.9,12958575,Futures,TCS,11550
4124.6,2024-03-01 09:44:00,NFO,28-MAR-2024,4129.2,4124.6,4129.2,12958575,Futures,TCS,9100
4126.4,2024-03-01 09:45:00,NFO,28-MAR-2024,4128.15,4124.2,4125.2,12952450,Futures,TCS,22575
4127.6,2024-03-01 09:46:00,NFO,28-MAR-2024,4128.75,4126.4,4126.4,12952450,Futures,TCS,6825
4131.1,2024-03-01 09:47:00,NFO,28-MAR-2024,4132.5,4125.0,4127.6,12952450,Futures,TCS,20825
4132.25,2024-03-01 09:48:00,NFO,28-MAR-2024,4132.4,4127.35,4131.1,12953850,Futures,TCS,6300
4135.85,2024-03-01 09:49:00,NFO,28-MAR-2024,4137.6,4129.3,4131.15,12953850,Futures,TCS,11900
4129.4,2024-03-01 09:50:00,NFO,28-MAR-2024,4137.85,4129.4,4136.8,12953850,Futures,TCS,12425
4132.5,2024-03-01 09:51:00,NFO,28-MAR-2024,4133.0,4128.95,4129.4,12951050,Futures,TCS,2975
4132.2,2024-03-01 09:52:00,NFO,28-MAR-2024,4133.2,4130.7,4132.5,12951050,Futures,TCS,5600
4134.85,2024-03-01 09:53:00,NFO,28-MAR-2024,4135.75,4130.6,4131.45,12951050,Futures,TCS,5775
4138.2,2024-03-01 09:54:00,NFO,28-MAR-2024,4139.0,4134.0,4134.75,12947550,Futures,TCS,12950
4146.05,2024-03-01 09:55:00,NFO,28-MAR-2024,4146.55,4138.5,4138.65,12947550,Futures,TCS,14000
4143.65,2024-03-01 09:56:00,NFO,28-MAR-2024,4146.05,4141.2,4146.05,12947550,Futures,TCS,21875
4139.9,2024-03-01 09:57:00,NFO,28-MAR-2024,4145.6,4138.65,4143.95,12954375,Futures,TCS,5600
4142.1,2024-03-01 09:58:00,NFO,28-MAR-2024,4142.65,4139.0,4139.9,12954375,Futures,TCS,6125
4145.4,2024-03-01 09:59:00,NFO,28-MAR-2024,4145.55,4142.1,4142.1,12954375,Futures,TCS,6125
4148.2,2024-03-01 10:00:00,NFO,28-MAR-2024,4149.0,4145.4,4145.4,12955425,Futures,TCS,11900
4151.0,2024-03-01 10:01:00,NFO,28-MAR-2024,4152.0,4149.2,4149.2,12955425,Futures,TCS,11900
4148.3,2024-03-01 10:02:00,NFO,28-MAR-2024,4155.5,4148.05,4151.0,12955425,Futures,TCS,13650
4146.0,2024-03-01 10:03:00,NFO,28-MAR-2024,4148.8,4144.65,4148.3,12948775,Futures,TCS,8575
4147.0,2024-03-01 10:04:00,NFO,28-MAR-2024,4147.0,4143.2,4146.0,12948775,Futures,TCS,5600
4152.85,2024-03-01 10:05:00,NFO,28-MAR-2024,4152.85,4146.1,4147.0,12948775,Futures,TCS,7875
4151.55,2024-03-01 10:06:00,NFO,28-MAR-2024,4153.75,4150.7,4153.0,12952800,Futures,TCS,9275
4148.95,2024-03-01 10:07:00,NFO,28-MAR-2024,4152.95,4148.3,4151.55,12952800,Futures,TCS,5425
4147.85,2024-03-01 10:08:00,NFO,28-MAR-2024,4148.95,4147.3,4148.55,12952800,Futures,TCS,5425
4146.25,2024-03-01 10:09:00,NFO,28-MAR-2024,4152.45,4146.25,4147.1,12957350,Futures,TCS,11375
4148.5,2024-03-01 10:10:00,NFO,28-MAR-2024,4149.3,4146.85,4147.6,12957350,Futures,TCS,4725
4144.85,2024-03-01 10:11:00,NFO,28-MAR-2024,4149.1,4144.85,4148.5,12957350,Futures,TCS,9450
4145.0,2024-03-01 10:12:00,NFO,28-MAR-2024,4146.75,4144.5,4144.85,12959975,Futures,TCS,3500
4142.7,2024-03-01 10:13:00,NFO,28-MAR-2024,4147.1,4142.0,4145.95,12959975,Futures,TCS,7350
4142.05,2024-03-01 10:14:00,NFO,28-MAR-2024,4144.05,4141.85,4142.7,12959975,Futures,TCS,4200
4141.95,2024-03-01 10:15:00,NFO,28-MAR-2024,4144.85,4141.6,4142.05,12961725,Futures,TCS,6475
4142.1,2024-03-01 10:16:00,NFO,28-MAR-2024,4143.85,4141.8,4143.05,12961725,Futures,TCS,4725
4147.5,2024-03-01 10:17:00,NFO,28-MAR-2024,4147.5,4141.85,4142.1,12961725,Futures,TCS,7525
4144.25,2024-03-01 10:18:00,NFO,28-MAR-2024,4148.05,4144.25,4147.5,12962775,Futures,TCS,4725
4144.55,2024-03-01 10:19:00,NFO,28-MAR-2024,4145.7,4143.4,4144.25,12962775,Futures,TCS,9275
4141.9,2024-03-01 10:20:00,NFO,28-MAR-2024,4142.85,4136.5,4142.85,12962775,Futures,TCS,7700
4140.1,2024-03-01 10:21:00,NFO,28-MAR-2024,4141.9,4140.05,4141.9,12962775,Futures,TCS,2100
4140.05,2024-03-01 10:22:00,NFO,28-MAR-2024,4140.9,4140.0,4140.1,12962425,Futures,TCS,1750
