close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
3338.45,2024-03-01 09:15:00,NFO,28-MAR-2024,3340.7,3314.85,3317.6,15013800,Futures,ADAENT,66600
3324.2,2024-03-01 09:16:00,NFO,28-MAR-2024,3339.85,3323.15,3337.05,15013800,Futures,ADAENT,39900
3318.65,2024-03-01 09:17:00,NFO,28-MAR-2024,3324.8,3317.0,3321.6,15013800,Futures,ADAENT,33600
3320.9,2024-03-01 09:18:00,NFO,28-MAR-2024,3323.0,3315.75,3318.0,15013200,Futures,ADAENT,27000
3322.9,2024-03-01 09:19:00,NFO,28-MAR-2024,3325.6,3317.4,3320.9,15013200,Futures,ADAENT,14100
3327.5,2024-03-01 09:20:00,NFO,28-MAR-2024,3330.1,3318.0,3322.9,15013200,Futures,ADAENT,27900
3335.75,2024-03-01 09:21:00,NFO,28-MAR-2024,3337.0,3327.15,3327.5,15014400,Futures,ADAENT,15300
3336.85,2024-03-01 09:22:00,NFO,28-MAR-2024,3337.55,3332.0,3335.1,15014400,Futures,ADAENT,22500
3339.5,2024-03-01 09:23:00,NFO,28-MAR-2024,3340.65,3333.75,3336.0,15014400,Futures,ADAENT,13200
3343.0,2024-03-01 09:24:00,NFO,28-MAR-2024,3346.1,3335.0,3339.5,15015900,Futures,ADAENT,29700
3342.0,2024-03-01 09:25:00,NFO,28-MAR-2024,3346.9,3339.75,3343.0,15015900,Futures,ADAENT,24900
3342.75,2024-03-01 09:26:00,NFO,28-MAR-2024,3346.9,3338.3,3339.8,15015900,Futures,ADAENT,30900
3341.75,2024-03-01 09:27:00,NFO,28-MAR-2024,3343.8,3339.5,3342.75,15022800,Futures,ADAENT,23100
3338.65,2024-03-01 09:28:00,NFO,28-MAR-2024,3342.25,3338.65,3341.1,15022800,Futures,ADAENT,16200
3334.0,2024-03-01 09:29:00,NFO,28-MAR-2024,3340.05,3332.75,3338.65,15022800,Futures,ADAENT,33600
3332.0,2024-03-01 09:30:00,NFO,28-MAR-2024,3334.2,3330.35,3334.0,15024000,Futures,ADAENT,7800
3326.8,2024-03-01 09:31:00,NFO,28-MAR-2024,3332.0,3326.7,3332.0,15024000,Futures,ADAENT,12600
3327.15,2024-03-01 09:32:00,NFO,28-MAR-2024,3332.5,3326.8,3326.8,15024000,Futures,ADAENT,9000
3325.0,2024-03-01 09:33:00,NFO,28-MAR-2024,3327.95,3323.0,3327.15,15025200,Futures,ADAENT,20700
3324.45,2024-03-01 09:34:00,NFO,28-MAR-2024,3325.5,3322.65,3325.0,15025200,Futures,ADAENT,9900
3323.85,2024-03-01 09:35:00,NFO,28-MAR-2024,3326.45,3323.85,3325.95,15025200,Futures,ADAENT,7200
3316.0,2024-03-01 09:36:00,NFO,28-MAR-2024,3325.45,3314.3,3325.45,15023700,Futures,ADAENT,27300
3318.05,2024-03-01 09:37:00,NFO,28-MAR-2024,3320.35,3316.0,3316.0,15023700,Futures,ADAENT,11100
3317.75,2024-03-01 09:38:00,NFO,28-MAR-2024,3319.0,3316.55,3318.05,15023700,Futures,ADAENT,9900
3317.75,2024-03-01 09:39:00,NFO,28-MAR-2024,3319.7,3313.2,3317.75,15027000,Futures,ADAENT,15900
3318.3,2024-03-01 09:40:00,NFO,28-MAR-2024,3319.2,3315.15,3317.75,15027000,Futures,ADAENT,9600
3314.25,2024-03-01 09:41:00,NFO,28-MAR-2024,3318.45,3311.6,3318.45,15027000,Futures,ADAENT,13500
3316.05,2024-03-01 09:42:00,NFO,28-MAR-2024,3319.0,3314.25,3314.25,15024900,Futures,ADAENT,5100
3315.25,2024-03-01 09:43:00,NFO,28-MAR-2024,3317.2,3315.25,3316.05,15024900,Futures,ADAENT,5700
3314.85,2024-03-01 09:44:00,NFO,28-MAR-2024,3317.0,3314.85,3315.25,15024900,Futures,ADAENT,6000
3312.9,2024-03-01 09:45:00,NFO,28-MAR-2024,3316.65,3311.3,3314.85,15027900,Futures,ADAENT,10500
